mode,instanceId,expectedTruthfulReward,expectedShortcutReward,expectedRewardGap
baseline,22,1014084.000000,1161290.000000,-147206.0
psi=0.05,22,1062675.600000,1195161.000000,-132485.3999999999
psi=0.10,22,1111267.200000,1229032.000000,-117764.79999999981
psi=0.20,22,1208450.400000,1296774.000000,-88323.6000000001
psi=0.30,22,1305633.600000,1364516.000000,-58882.39999999991
baseline,23,1014084.000000,885245.250000,128838.75
psi=0.05,23,1062675.600000,946720.725000,115954.875
psi=0.10,23,1111267.200000,1008196.200000,103071.00000000012
psi=0.20,23,1208450.400000,1131147.150000,77303.25
psi=0.30,23,1305633.600000,1254098.100000,51535.5
baseline,24,885245.250000,1014084.000000,-128838.75
psi=0.05,24,946720.725000,1062675.600000,-115954.875
psi=0.10,24,1008196.200000,1111267.200000,-103071.00000000012
psi=0.20,24,1131147.150000,1208450.400000,-77303.25
psi=0.30,24,1254098.100000,1305633.600000,-51535.5
baseline,25,885245.250000,1257352.500000,-372107.25
psi=0.05,25,946720.725000,1281617.250000,-334896.5249999999
psi=0.10,25,1008196.200000,1305882.000000,-297685.79999999993
psi=0.20,25,1131147.150000,1354411.500000,-223264.3500000001
psi=0.30,25,1254098.100000,1402941.000000,-148842.8999999999
baseline,26,1014084.000000,1033536.375000,-19452.375
psi=0.05,26,1062675.600000,1080182.737500,-17507.137499999953
psi=0.10,26,1111267.200000,1126829.100000,-15561.899999999907
psi=0.20,26,1208450.400000,1220121.825000,-11671.42500000028
psi=0.30,26,1305633.600000,1313414.550000,-7780.949999999953
baseline,27,885245.250000,885245.250000,0.0
psi=0.05,27,946720.725000,946720.725000,0.0
psi=0.10,27,1008196.200000,1008196.200000,0.0
psi=0.20,27,1131147.150000,1131147.150000,0.0
psi=0.30,27,1254098.100000,1254098.100000,0.0
baseline,28,1014084.000000,439024.250000,575059.75
psi=0.05,28,1062675.600000,545121.825000,517553.775
psi=0.10,28,1111267.200000,651219.400000,460047.80000000005
psi=0.20,28,1208450.400000,863414.550000,345035.84999999986
psi=0.30,28,1305633.600000,1075609.700000,230023.90000000014
baseline,29,1257352.500000,1161290.000000,96062.5
psi=0.05,29,1281617.250000,1195161.000000,86456.25
psi=0.10,29,1305882.000000,1229032.000000,76850.0
psi=0.20,29,1354411.500000,1296774.000000,57637.5
psi=0.30,29,1402941.000000,1364516.000000,38425.0
baseline,30,1628048.500000,705882.000000,922166.5
psi=0.05,30,1615243.650000,785293.800000,829949.8500000002
psi=0.10,30,1602438.800000,864705.600000,737733.2000000002
psi=0.20,30,1576829.100000,1023529.200000,553299.9
psi=0.30,30,1551219.400000,1182352.800000,368866.6000000001
baseline,31,1014084.000000,885245.250000,128838.75
psi=0.05,31,1062675.600000,946720.725000,115954.875
psi=0.10,31,1111267.200000,1008196.200000,103071.00000000012
psi=0.20,31,1208450.400000,1131147.150000,77303.25
psi=0.30,31,1305633.600000,1254098.100000,51535.5
baseline,32,1257352.500000,705882.000000,551470.5
psi=0.05,32,1281617.250000,785293.800000,496323.45000000007
psi=0.10,32,1305882.000000,864705.600000,441176.3999999999
psi=0.20,32,1354411.500000,1023529.200000,330882.29999999993
psi=0.30,32,1402941.000000,1182352.800000,220588.2000000002
baseline,33,1014084.000000,439024.250000,575059.75
psi=0.05,33,1062675.600000,545121.825000,517553.775
psi=0.10,33,1111267.200000,651219.400000,460047.80000000005
psi=0.20,33,1208450.400000,863414.550000,345035.84999999986
psi=0.30,33,1305633.600000,1075609.700000,230023.90000000014
baseline,34,1014084.000000,1161290.000000,-147206.0
psi=0.05,34,1062675.600000,1195161.000000,-132485.3999999999
psi=0.10,34,1111267.200000,1229032.000000,-117764.79999999981
psi=0.20,34,1208450.400000,1296774.000000,-88323.6000000001
psi=0.30,34,1305633.600000,1364516.000000,-58882.39999999991
baseline,35,1161290.000000,1257352.500000,-96062.5
psi=0.05,35,1195161.000000,1281617.250000,-86456.25
psi=0.10,35,1229032.000000,1305882.000000,-76850.0
psi=0.20,35,1296774.000000,1354411.500000,-57637.5
psi=0.30,35,1364516.000000,1402941.000000,-38425.0
baseline,36,885245.250000,1161290.000000,-276044.75
psi=0.05,36,946720.725000,1195161.000000,-248440.2749999999
psi=0.10,36,1008196.200000,1229032.000000,-220835.79999999993
psi=0.20,36,1131147.150000,1296774.000000,-165626.8500000001
psi=0.30,36,1254098.100000,1364516.000000,-110417.8999999999
baseline,37,1014084.000000,1257352.500000,-243268.5
psi=0.05,37,1062675.600000,1281617.250000,-218941.6499999999
